timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1662936284453,29789,Petición a postgres,200,OK,Postgres 1-4,text,true,,4368,162,50,50,http://54.236.31.76:8000/customQuery/?from=1622523600&to=1625115600,29693,0,115
1662936284449,30271,Petición a postgres,200,OK,Postgres 1-1,text,true,,4368,162,49,49,http://54.236.31.76:8000/customQuery/?from=1622523600&to=1625115600,30158,0,119
1662936284449,31413,Petición a postgres,200,OK,Postgres 1-3,text,true,,4368,162,48,48,http://54.236.31.76:8000/customQuery/?from=1622523600&to=1625115600,31308,0,119
1662936284449,31952,Petición a postgres,200,OK,Postgres 1-2,text,true,,4368,162,47,47,http://54.236.31.76:8000/customQuery/?from=1622523600&to=1625115600,31854,0,128
1662936284472,31965,Petición a postgres,200,OK,Postgres 1-5,text,true,,4368,162,46,46,http://54.236.31.76:8000/customQuery/?from=1622523600&to=1625115600,31860,0,108
1662936284487,32108,Petición a postgres,200,OK,Postgres 1-6,text,true,,4368,162,45,45,http://54.236.31.76:8000/customQuery/?from=1622523600&to=1625115600,32007,0,99
1662936284511,32304,Petición a postgres,200,OK,Postgres 1-7,text,true,,4368,162,44,44,http://54.236.31.76:8000/customQuery/?from=1622523600&to=1625115600,32196,0,111
1662936284527,32745,Petición a postgres,200,OK,Postgres 1-8,text,true,,4368,162,43,43,http://54.236.31.76:8000/customQuery/?from=1622523600&to=1625115600,32643,0,108
1662936284547,32792,Petición a postgres,200,OK,Postgres 1-9,text,true,,4368,162,42,42,http://54.236.31.76:8000/customQuery/?from=1622523600&to=1625115600,32683,0,101
1662936284568,32876,Petición a postgres,200,OK,Postgres 1-10,text,true,,4368,162,41,41,http://54.236.31.76:8000/customQuery/?from=1622523600&to=1625115600,32777,0,107
1662936284625,33011,Petición a postgres,200,OK,Postgres 1-13,text,true,,4368,162,40,40,http://54.236.31.76:8000/customQuery/?from=1622523600&to=1625115600,32907,0,106
1662936284650,33022,Petición a postgres,200,OK,Postgres 1-14,text,true,,4368,162,39,39,http://54.236.31.76:8000/customQuery/?from=1622523600&to=1625115600,32921,0,102
1662936284609,33067,Petición a postgres,200,OK,Postgres 1-12,text,true,,4368,162,38,38,http://54.236.31.76:8000/customQuery/?from=1622523600&to=1625115600,32967,0,115
1662936284588,33196,Petición a postgres,200,OK,Postgres 1-11,text,true,,4368,162,37,37,http://54.236.31.76:8000/customQuery/?from=1622523600&to=1625115600,33096,0,106
1662936284688,33342,Petición a postgres,200,OK,Postgres 1-16,text,true,,4368,162,36,36,http://54.236.31.76:8000/customQuery/?from=1622523600&to=1625115600,33234,0,97
1662936284747,33283,Petición a postgres,200,OK,Postgres 1-19,text,true,,4368,162,36,36,http://54.236.31.76:8000/customQuery/?from=1622523600&to=1625115600,33183,0,102
1662936284726,33338,Petición a postgres,200,OK,Postgres 1-18,text,true,,4368,162,34,34,http://54.236.31.76:8000/customQuery/?from=1622523600&to=1625115600,33233,0,104
1662936284667,33495,Petición a postgres,200,OK,Postgres 1-15,text,true,,4368,162,33,33,http://54.236.31.76:8000/customQuery/?from=1622523600&to=1625115600,33387,0,105
1662936284791,33371,Petición a postgres,200,OK,Postgres 1-21,text,true,,4368,162,33,33,http://54.236.31.76:8000/customQuery/?from=1622523600&to=1625115600,33273,0,105
1662936284705,33523,Petición a postgres,200,OK,Postgres 1-17,text,true,,4368,162,31,31,http://54.236.31.76:8000/customQuery/?from=1622523600&to=1625115600,33422,0,105
1662936284768,33475,Petición a postgres,200,OK,Postgres 1-20,text,true,,4368,162,30,30,http://54.236.31.76:8000/customQuery/?from=1622523600&to=1625115600,33371,0,109
1662936284868,33392,Petición a postgres,200,OK,Postgres 1-25,text,true,,4368,162,29,29,http://54.236.31.76:8000/customQuery/?from=1622523600&to=1625115600,33290,0,108
1662936284847,33413,Petición a postgres,200,OK,Postgres 1-24,text,true,,4368,162,29,29,http://54.236.31.76:8000/customQuery/?from=1622523600&to=1625115600,33307,0,101
1662936284909,33446,Petición a postgres,200,OK,Postgres 1-27,text,true,,4368,162,27,27,http://54.236.31.76:8000/customQuery/?from=1622523600&to=1625115600,33340,0,107
1662936284806,33573,Petición a postgres,200,OK,Postgres 1-22,text,true,,4368,162,26,26,http://54.236.31.76:8000/customQuery/?from=1622523600&to=1625115600,33466,0,102
1662936284830,33549,Petición a postgres,200,OK,Postgres 1-23,text,true,,4368,162,26,26,http://54.236.31.76:8000/customQuery/?from=1622523600&to=1625115600,33449,0,104
1662936284967,33447,Petición a postgres,200,OK,Postgres 1-30,text,true,,4368,162,24,24,http://54.236.31.76:8000/customQuery/?from=1622523600&to=1625115600,33344,0,105
1662936284890,33539,Petición a postgres,200,OK,Postgres 1-26,text,true,,4368,162,23,23,http://54.236.31.76:8000/customQuery/?from=1622523600&to=1625115600,33434,0,112
1662936284927,33502,Petición a postgres,200,OK,Postgres 1-28,text,true,,4368,162,23,23,http://54.236.31.76:8000/customQuery/?from=1622523600&to=1625115600,33392,0,113
1662936284950,33493,Petición a postgres,200,OK,Postgres 1-29,text,true,,4368,162,21,21,http://54.236.31.76:8000/customQuery/?from=1622523600&to=1625115600,33384,0,109
1662936284989,33474,Petición a postgres,200,OK,Postgres 1-31,text,true,,4368,162,20,20,http://54.236.31.76:8000/customQuery/?from=1622523600&to=1625115600,33371,0,108
1662936285049,33414,Petición a postgres,200,OK,Postgres 1-34,text,true,,4368,162,20,20,http://54.236.31.76:8000/customQuery/?from=1622523600&to=1625115600,33306,0,101
1662936285027,33441,Petición a postgres,200,OK,Postgres 1-33,text,true,,4368,162,18,18,http://54.236.31.76:8000/customQuery/?from=1622523600&to=1625115600,33336,0,101
1662936285007,33475,Petición a postgres,200,OK,Postgres 1-32,text,true,,4368,162,17,17,http://54.236.31.76:8000/customQuery/?from=1622523600&to=1625115600,33364,0,103
1662936285149,33377,Petición a postgres,200,OK,Postgres 1-39,text,true,,4368,162,16,16,http://54.236.31.76:8000/customQuery/?from=1622523600&to=1625115600,33278,0,108
1662936285067,33459,Petición a postgres,200,OK,Postgres 1-35,text,true,,4368,162,16,16,http://54.236.31.76:8000/customQuery/?from=1622523600&to=1625115600,33353,0,106
1662936285090,33461,Petición a postgres,200,OK,Postgres 1-36,text,true,,4368,162,14,14,http://54.236.31.76:8000/customQuery/?from=1622523600&to=1625115600,33355,0,102
1662936285109,33442,Petición a postgres,200,OK,Postgres 1-37,text,true,,4368,162,14,14,http://54.236.31.76:8000/customQuery/?from=1622523600&to=1625115600,33339,0,102
1662936285191,33366,Petición a postgres,200,OK,Postgres 1-41,text,true,,4368,162,12,12,http://54.236.31.76:8000/customQuery/?from=1622523600&to=1625115600,33259,0,100
1662936285328,33229,Petición a postgres,200,OK,Postgres 1-48,text,true,,4368,162,12,12,http://54.236.31.76:8000/customQuery/?from=1622523600&to=1625115600,33126,0,1107
1662936285209,33355,Petición a postgres,200,OK,Postgres 1-42,text,true,,4368,162,10,10,http://54.236.31.76:8000/customQuery/?from=1622523600&to=1625115600,33248,0,99
1662936285166,33398,Petición a postgres,200,OK,Postgres 1-40,text,true,,4368,162,10,10,http://54.236.31.76:8000/customQuery/?from=1622523600&to=1625115600,33295,0,107
1662936285290,33280,Petición a postgres,200,OK,Postgres 1-46,text,true,,4368,162,8,8,http://54.236.31.76:8000/customQuery/?from=1622523600&to=1625115600,33175,0,1102
1662936285128,33445,Petición a postgres,200,OK,Postgres 1-38,text,true,,4368,162,7,7,http://54.236.31.76:8000/customQuery/?from=1622523600&to=1625115600,33343,0,112
1662936285268,33307,Petición a postgres,200,OK,Postgres 1-45,text,true,,4368,162,6,6,http://54.236.31.76:8000/customQuery/?from=1622523600&to=1625115600,33206,0,1103
1662936285306,33277,Petición a postgres,200,OK,Postgres 1-47,text,true,,4368,162,5,5,http://54.236.31.76:8000/customQuery/?from=1622523600&to=1625115600,33175,0,1106
1662936285249,33343,Petición a postgres,200,OK,Postgres 1-44,text,true,,4368,162,4,4,http://54.236.31.76:8000/customQuery/?from=1622523600&to=1625115600,33237,0,2101
1662936285370,33229,Petición a postgres,200,OK,Postgres 1-50,text,true,,4368,162,3,3,http://54.236.31.76:8000/customQuery/?from=1622523600&to=1625115600,33129,0,1114
1662936285227,33372,Petición a postgres,200,OK,Postgres 1-43,text,true,,4368,162,3,3,http://54.236.31.76:8000/customQuery/?from=1622523600&to=1625115600,33266,0,1108
1662936285350,33271,Petición a postgres,200,OK,Postgres 1-49,text,true,,4368,162,1,1,http://54.236.31.76:8000/customQuery/?from=1622523600&to=1625115600,33156,0,1110
1662936318624,5659,Petición a timescale,200,OK,Timescale 2-1,text,true,,4596,168,50,50,http://44.211.85.57:8000/customQuery/?from=1622523600000&to=1625115600000,5552,0,105
1662936318644,5821,Petición a timescale,200,OK,Timescale 2-2,text,true,,4596,168,49,49,http://44.211.85.57:8000/customQuery/?from=1622523600000&to=1625115600000,5712,0,106
1662936318668,6609,Petición a timescale,200,OK,Timescale 2-3,text,true,,4596,168,48,48,http://44.211.85.57:8000/customQuery/?from=1622523600000&to=1625115600000,6501,0,100
1662936318688,6661,Petición a timescale,200,OK,Timescale 2-4,text,true,,4596,168,47,47,http://44.211.85.57:8000/customQuery/?from=1622523600000&to=1625115600000,6560,0,105
1662936318726,7260,Petición a timescale,200,OK,Timescale 2-6,text,true,,4596,168,46,46,http://44.211.85.57:8000/customQuery/?from=1622523600000&to=1625115600000,7164,0,105
1662936318747,7391,Petición a timescale,200,OK,Timescale 2-7,text,true,,4596,168,45,45,http://44.211.85.57:8000/customQuery/?from=1622523600000&to=1625115600000,7292,0,104
1662936318766,7514,Petición a timescale,200,OK,Timescale 2-8,text,true,,4596,168,44,44,http://44.211.85.57:8000/customQuery/?from=1622523600000&to=1625115600000,7415,0,102
1662936318789,7647,Petición a timescale,200,OK,Timescale 2-9,text,true,,4596,168,43,43,http://44.211.85.57:8000/customQuery/?from=1622523600000&to=1625115600000,7539,0,105
1662936318809,7872,Petición a timescale,200,OK,Timescale 2-10,text,true,,4596,168,42,42,http://44.211.85.57:8000/customQuery/?from=1622523600000&to=1625115600000,7775,0,110
1662936318846,7934,Petición a timescale,200,OK,Timescale 2-12,text,true,,4596,168,41,41,http://44.211.85.57:8000/customQuery/?from=1622523600000&to=1625115600000,7835,0,97
1662936318869,8041,Petición a timescale,200,OK,Timescale 2-13,text,true,,4596,168,40,40,http://44.211.85.57:8000/customQuery/?from=1622523600000&to=1625115600000,7939,0,104
1662936318828,8116,Petición a timescale,200,OK,Timescale 2-11,text,true,,4596,168,39,39,http://44.211.85.57:8000/customQuery/?from=1622523600000&to=1625115600000,8016,0,109
1662936318888,8110,Petición a timescale,200,OK,Timescale 2-14,text,true,,4596,168,38,38,http://44.211.85.57:8000/customQuery/?from=1622523600000&to=1625115600000,8008,0,107
1662936318904,8150,Petición a timescale,200,OK,Timescale 2-15,text,true,,4596,168,37,37,http://44.211.85.57:8000/customQuery/?from=1622523600000&to=1625115600000,8050,0,105
1662936318928,8299,Petición a timescale,200,OK,Timescale 2-16,text,true,,4596,168,36,36,http://44.211.85.57:8000/customQuery/?from=1622523600000&to=1625115600000,8077,0,105
1662936318965,8273,Petición a timescale,200,OK,Timescale 2-18,text,true,,4596,168,35,35,http://44.211.85.57:8000/customQuery/?from=1622523600000&to=1625115600000,8171,0,103
1662936318988,8363,Petición a timescale,200,OK,Timescale 2-19,text,true,,4596,168,34,34,http://44.211.85.57:8000/customQuery/?from=1622523600000&to=1625115600000,8260,0,107
1662936319008,8349,Petición a timescale,200,OK,Timescale 2-20,text,true,,4596,168,33,33,http://44.211.85.57:8000/customQuery/?from=1622523600000&to=1625115600000,8250,0,104
1662936318947,8410,Petición a timescale,200,OK,Timescale 2-17,text,true,,4596,168,33,33,http://44.211.85.57:8000/customQuery/?from=1622523600000&to=1625115600000,8314,0,104
1662936319046,8397,Petición a timescale,200,OK,Timescale 2-22,text,true,,4596,168,31,31,http://44.211.85.57:8000/customQuery/?from=1622523600000&to=1625115600000,8295,0,104
1662936319070,8434,Petición a timescale,200,OK,Timescale 2-23,text,true,,4596,168,30,30,http://44.211.85.57:8000/customQuery/?from=1622523600000&to=1625115600000,8331,0,103
1662936319027,8477,Petición a timescale,200,OK,Timescale 2-21,text,true,,4596,168,30,30,http://44.211.85.57:8000/customQuery/?from=1622523600000&to=1625115600000,8377,0,111
1662936319110,8422,Petición a timescale,200,OK,Timescale 2-25,text,true,,4596,168,28,28,http://44.211.85.57:8000/customQuery/?from=1622523600000&to=1625115600000,8322,0,106
1662936319087,8490,Petición a timescale,200,OK,Timescale 2-24,text,true,,4596,168,27,27,http://44.211.85.57:8000/customQuery/?from=1622523600000&to=1625115600000,8383,0,107
1662936319127,8556,Petición a timescale,200,OK,Timescale 2-26,text,true,,4596,168,26,26,http://44.211.85.57:8000/customQuery/?from=1622523600000&to=1625115600000,8448,0,110
1662936319150,8547,Petición a timescale,200,OK,Timescale 2-27,text,true,,4596,168,25,25,http://44.211.85.57:8000/customQuery/?from=1622523600000&to=1625115600000,8441,0,116
1662936319189,8525,Petición a timescale,200,OK,Timescale 2-29,text,true,,4596,168,24,24,http://44.211.85.57:8000/customQuery/?from=1622523600000&to=1625115600000,8418,0,102
1662936319168,8596,Petición a timescale,200,OK,Timescale 2-28,text,true,,4596,168,23,23,http://44.211.85.57:8000/customQuery/?from=1622523600000&to=1625115600000,8492,0,107
1662936319227,8552,Petición a timescale,200,OK,Timescale 2-31,text,true,,4596,168,22,22,http://44.211.85.57:8000/customQuery/?from=1622523600000&to=1625115600000,8446,0,102
1662936319247,8557,Petición a timescale,200,OK,Timescale 2-32,text,true,,4596,168,21,21,http://44.211.85.57:8000/customQuery/?from=1622523600000&to=1625115600000,8451,0,107
1662936319269,8568,Petición a timescale,200,OK,Timescale 2-33,text,true,,4596,168,20,20,http://44.211.85.57:8000/customQuery/?from=1622523600000&to=1625115600000,8457,0,105
1662936319285,8576,Petición a timescale,200,OK,Timescale 2-34,text,true,,4596,168,19,19,http://44.211.85.57:8000/customQuery/?from=1622523600000&to=1625115600000,8475,0,111
1662936319208,8672,Petición a timescale,200,OK,Timescale 2-30,text,true,,4596,168,18,18,http://44.211.85.57:8000/customQuery/?from=1622523600000&to=1625115600000,8568,0,106
1662936319307,8578,Petición a timescale,200,OK,Timescale 2-35,text,true,,4596,168,17,17,http://44.211.85.57:8000/customQuery/?from=1622523600000&to=1625115600000,8472,0,110
1662936319328,8575,Petición a timescale,200,OK,Timescale 2-36,text,true,,4596,168,16,16,http://44.211.85.57:8000/customQuery/?from=1622523600000&to=1625115600000,8464,0,114
1662936319344,8604,Petición a timescale,200,OK,Timescale 2-37,text,true,,4596,168,15,15,http://44.211.85.57:8000/customQuery/?from=1622523600000&to=1625115600000,8490,0,103
1662936319364,8584,Petición a timescale,200,OK,Timescale 2-38,text,true,,4596,168,15,15,http://44.211.85.57:8000/customQuery/?from=1622523600000&to=1625115600000,8469,0,105
1662936319408,8564,Petición a timescale,200,OK,Timescale 2-40,text,true,,4596,168,13,13,http://44.211.85.57:8000/customQuery/?from=1622523600000&to=1625115600000,8458,0,101
1662936319388,8590,Petición a timescale,200,OK,Timescale 2-39,text,true,,4596,168,12,12,http://44.211.85.57:8000/customQuery/?from=1622523600000&to=1625115600000,8483,0,110
1662936319446,8571,Petición a timescale,200,OK,Timescale 2-42,text,true,,4596,168,11,11,http://44.211.85.57:8000/customQuery/?from=1622523600000&to=1625115600000,8461,0,104
1662936319463,8561,Petición a timescale,200,OK,Timescale 2-43,text,true,,4596,168,10,10,http://44.211.85.57:8000/customQuery/?from=1622523600000&to=1625115600000,8451,0,104
1662936319508,8535,Petición a timescale,200,OK,Timescale 2-45,text,true,,4596,168,9,9,http://44.211.85.57:8000/customQuery/?from=1622523600000&to=1625115600000,8439,0,101
1662936319523,8538,Petición a timescale,200,OK,Timescale 2-46,text,true,,4596,168,8,8,http://44.211.85.57:8000/customQuery/?from=1622523600000&to=1625115600000,8437,0,113
1662936319547,8522,Petición a timescale,200,OK,Timescale 2-47,text,true,,4596,168,7,7,http://44.211.85.57:8000/customQuery/?from=1622523600000&to=1625115600000,8420,0,103
1662936319568,8507,Petición a timescale,200,OK,Timescale 2-48,text,true,,4596,168,6,6,http://44.211.85.57:8000/customQuery/?from=1622523600000&to=1625115600000,8400,0,106
1662936319589,8493,Petición a timescale,200,OK,Timescale 2-49,text,true,,4596,168,5,5,http://44.211.85.57:8000/customQuery/?from=1622523600000&to=1625115600000,8382,0,99
1662936319608,8474,Petición a timescale,200,OK,Timescale 2-50,text,true,,4596,168,5,5,http://44.211.85.57:8000/customQuery/?from=1622523600000&to=1625115600000,8362,0,105
1662936319429,8658,Petición a timescale,200,OK,Timescale 2-41,text,true,,4596,168,3,3,http://44.211.85.57:8000/customQuery/?from=1622523600000&to=1625115600000,8553,0,1109
1662936318708,9392,Petición a timescale,200,OK,Timescale 2-5,text,true,,4596,168,2,2,http://44.211.85.57:8000/customQuery/?from=1622523600000&to=1625115600000,9277,0,2109
1662936319488,8662,Petición a timescale,200,OK,Timescale 2-44,text,true,,4596,168,1,1,http://44.211.85.57:8000/customQuery/?from=1622523600000&to=1625115600000,8443,0,107
